MMSI,Method,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19,Sub20
207138000.csv,Kalman,12.984508476730115,61.7537881848666,137.75460864567208,225.86483128987203,308.3111357311483,361.71846739993003,338.2720035479316,332.31932395355875,310.0363544586749,230.65127880372663,189.98505839854468,242.29785636685133,289.06277103046807,315.9047742475073,375.77939879272947,456.2865870402251,532.2466431526917,660.845629396035,732.0237520348452,723.4591423582336
207138000.csv,Linear,37.40233541589261,55.6577394644452,73.33485075514224,91.52880761823153,108.9035447055781,127.85176671072915,141.23966326687489,163.25616401897622,170.52280294027167,186.83045910148368,210.33055062192233,238.41330923141385,247.07180446572966,252.87342144629713,261.2205716968576,273.4099471053101,288.40425634172885,306.88427666466544,327.94518825628336,352.4536560865655
207138000.csv,Kalman,13.43322614887223,40.21089568199084,112.12314158426088,222.3403703067617,356.20657988959067,497.80817052165963,529.0361394617406,717.5572803630218,734.0877417584876,611.1577141721696,431.3902970147104,490.7805044681763,527.9582594626524,628.4854466605449,725.74333045673,805.5262922981261,843.6957918450421,850.6847180155336,809.2346769939426,713.5007233475435
207138000.csv,Linear,99.8843118713445,147.64952119677022,197.4139586017997,246.51483370354202,293.66115941085644,342.4382537046829,377.0563992699532,443.1001365486179,464.80966980219284,504.9880093640664,567.6274260979775,639.0336077408726,656.2938280947991,672.0401859603666,694.8111341836758,724.0184201105267,763.9076189884919,808.2469189225845,864.4107046325355,928.4551305925173
215901000.csv,Kalman,9.331093323261234,12.501154906949255,19.645976454158244,29.65666647003449,40.15123553196754,59.51416851958353,77.43277278307106,103.24535131016385,106.03998560574409,107.60290024444397,167.1667544588207,194.22856491777173,212.3180989717934,211.60550824570868,187.7804324798596,185.4323571081352,274.9596082862582,274.9709292958933,252.9662579706269,375.89766713615217
215901000.csv,Linear,31.358302785455123,46.37950773091496,60.53073484981323,74.84324094364757,90.2041991180712,104.03715316739702,116.89701821616416,131.50173836450202,141.46464053386754,157.2384036341273,177.18102132361037,188.57688929092708,194.48842934432744,199.33827703650556,208.7207327411771,221.10020309907281,261.8124238897513,277.74247716384485,295.87437424501456,348.2299628208264
227146400.csv,Kalman,14.518474908541336,20.515129056835224,44.23801759811042,74.8528669146062,120.50676399418649,189.00306085841373,189.74851309023563,285.62212661283195,308.2856064374104,225.28420015843727,234.34534169225174,216.0182434436713,217.2678418425118,200.77906390323082,193.76435669048718,193.2760438888273,167.225318776338,326.227182319634,222.21717473019422,318.3918170975524
227146400.csv,Linear,109.88074791077554,162.95619632703838,212.19773539243673,264.7309924086691,313.7591585801757,362.43803627658826,413.25954854370605,460.3484047005173,497.2924925072063,582.8047295353626,636.0391498605724,665.0269411010614,642.5064639947797,671.3201975523048,707.1842992010148,754.6290850949047,810.7489630370255,912.5292293803416,1103.7849612008195,1044.4207630130613
314237000.csv,Kalman,8.228800532097535,9.922731571548438,11.421381099471011,14.44096181243906,17.966945930928485,21.59248946532751,24.413415754677825,29.07887529805421,37.627687299130784,39.436520847002384,65.25660057096987,56.52646459087739,59.98505032686897,65.74726917635358,74.28875499428699,98.38537484677025,87.33084573633168,151.25650647367098,139.90159345747654,143.7279165766587
314237000.csv,Linear,37.242635030021425,54.60246833223266,70.0779384072335,86.73036799349589,103.54772712962632,118.53165901347576,132.22956422429252,148.6830148515295,170.7548892940153,184.1452530691406,338.40237080898277,211.43917596286676,217.02612771309012,282.09493615879836,296.23768516639484,359.7066791185063,367.9890030197552,645.9982623158647,261.896020826486,276.3532615902784
